t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2023-12-30","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-29","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-28","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-27","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-26","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-23","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","9000","9200","9100"
"2023-12-22","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-21","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-20","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-19","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-18","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-16","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-15","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-14","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-13","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-12","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-11","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-09","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-08","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-07","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-06","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-05","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-04","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-02","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-12-01","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-29","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-28","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-27","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-25","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-24","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-23","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-22","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8600","8550"
"2023-11-21","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-11-20","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8200","8400","8300"
"2023-11-18","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-17","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-11-16","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-11-13","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-10","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8500","8200"
"2023-11-09","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-08","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-07","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-06","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8500","8700","8600"
"2023-11-04","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8200","8400","8300"
"2023-11-03","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8200","8400","8300"
"2023-11-02","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-11-01","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-31","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-30","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-28","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-27","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-25","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-21","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
"2023-10-20","Cashewnuts","540","Kasargod","32","Kerala","588","Kasaragod","Other","8000","8200","8100"
