t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2023-12-31","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5400","5600","5500"
"2023-12-30","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","4600","4800","4700"
"2023-12-30","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-29","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5400","5600","5500"
"2023-12-29","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-28","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5400","5600","5500"
"2023-12-28","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-27","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-26","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-26","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5150","5170","5160"
"2023-12-24","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5500","5700","5600"
"2023-12-23","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-23","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5350","5370","5360"
"2023-12-22","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5450","5650","5550"
"2023-12-22","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
"2023-12-21","Ginger (Dry)","538","Parakkodu","32","Kerala","599","Pathanamthitta","Other","7500","8500","8000"
"2023-12-21","Ginger (Dry)","2154","Pulpally","32","Kerala","590","Wayanad","Other","5500","5700","5600"
"2023-12-21","Ginger (Dry)","3084","Perumbavoor","32","Kerala","595","Ernakulam","Dry","31000","32000","31500"
