t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2023-12-31","Pepper - ungarbled","32","Kerala","142","Manjeri","Kerala","592","Malappuram","0.5"
"2023-12-31","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","3"
"2023-12-30","Pepper - ungarbled","32","Kerala","3073","Ezhamkulam","Kerala","599","Pathanamthitta","0.4"
"2023-12-30","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-30","Pepper - ungarbled","32","Kerala","142","Manjeri","Kerala","592","Malappuram","0.5"
"2023-12-30","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","6"
"2023-12-29","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","2"
"2023-12-28","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-28","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","60"
"2023-12-28","Pepper - ungarbled","32","Kerala","3073","Ezhamkulam","Kerala","599","Pathanamthitta","0.5"
"2023-12-27","Pepper - ungarbled","32","Kerala","3076","Ranniangadi","Kerala","599","Pathanamthitta","0.4"
"2023-12-27","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-26","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","3"
"2023-12-24","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","3"
"2023-12-23","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","3"
"2023-12-23","Pepper - ungarbled","32","Kerala","3076","Ranniangadi","Kerala","599","Pathanamthitta","0.35"
"2023-12-23","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-22","Pepper - ungarbled","32","Kerala","3073","Ezhamkulam","Kerala","599","Pathanamthitta","0.3"
"2023-12-22","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-22","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","2"
"2023-12-21","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","1"
"2023-12-21","Pepper - ungarbled","32","Kerala","538","Parakkodu","Kerala","599","Pathanamthitta","2"
"2023-12-21","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-21","Pepper - ungarbled","32","Kerala","142","Manjeri","Kerala","592","Malappuram","0.5"
"2023-12-20","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","3"
"2023-12-20","Pepper - ungarbled","32","Kerala","3076","Ranniangadi","Kerala","599","Pathanamthitta","0.35"
"2023-12-20","Pepper - ungarbled","32","Kerala","142","Manjeri","Kerala","592","Malappuram","0.5"
"2023-12-20","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-19","Pepper - ungarbled","32","Kerala","142","Manjeri","Kerala","592","Malappuram","0.5"
"2023-12-19","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","2"
"2023-12-18","Pepper - ungarbled","32","Kerala","538","Parakkodu","Kerala","599","Pathanamthitta","1"
"2023-12-18","Pepper - ungarbled","32","Kerala","2154","Pulpally","Kerala","590","Wayanad","2"
"2023-12-18","Pepper - ungarbled","32","Kerala","142","Manjeri","Kerala","592","Malappuram","0.5"
"2023-12-17","Pepper - ungarbled","32","Kerala","3075","Kuttoor","Kerala","599","Pathanamthitta","1.3"
"2023-12-16","Pepper - ungarbled","32","Kerala","3076","Ranniangadi","Kerala","599","Pathanamthitta","0.3"
