t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2023-12-31","Rice","32","Kerala","142","Manjeri","Kerala","592","Malappuram","290"
"2023-12-30","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-29","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-29","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-28","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-28","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-27","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-27","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-26","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-25","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-24","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-23","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","3"
"2023-12-23","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-22","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-21","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-21","Rice","32","Kerala","142","Manjeri","Kerala","592","Malappuram","290"
"2023-12-21","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-20","Rice","32","Kerala","142","Manjeri","Kerala","592","Malappuram","290"
"2023-12-20","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-20","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
"2023-12-19","Rice","32","Kerala","142","Manjeri","Kerala","592","Malappuram","290"
"2023-12-19","Rice","32","Kerala","1122","Thodupuzha","Kerala","596","Idukki","50"
"2023-12-19","Rice","32","Kerala","140","Kottayam","Kerala","597","Kottayam","6"
