t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,yield_kg_per_ha
2025-10-30,Banana,10390,Kovilnada  VFPCK,32,Kerala,601,Thiruvananthapuram,Palayamthodan,2800.0,3000.0,2900,24710.0
2025-10-30,Banana,10390,Kovilnada  VFPCK,32,Kerala,601,Thiruvananthapuram,Poovan,4800.0,5000.0,4900,24710.0
2025-10-30,Banana,10390,Kovilnada  VFPCK,32,Kerala,601,Thiruvananthapuram,Red Banana,5800.0,6000.0,5900,24710.0
2025-10-30,Banana,10392,Kallara  VFPCK,32,Kerala,601,Thiruvananthapuram,Nendra Bale,4200.0,4400.0,4300,24710.0
2025-10-30,Banana,10393,Kattakkada  VFPCK,32,Kerala,601,Thiruvananthapuram,Nendra Bale,4000.0,5500.0,4700,24710.0
2025-10-30,Banana,10393,Kattakkada  VFPCK,32,Kerala,601,Thiruvananthapuram,Palayamthodan,2000.0,2500.0,2100,24710.0
2025-10-30,Banana,10393,Kattakkada  VFPCK,32,Kerala,601,Thiruvananthapuram,Red Banana,4500.0,5000.0,4700,24710.0
2025-10-30,Banana,10505,Parassala VFPCK,32,Kerala,601,Thiruvananthapuram,Palayamthodan,1700.0,1900.0,1800,24710.0
2025-10-30,Banana,10505,Parassala VFPCK,32,Kerala,601,Thiruvananthapuram,Rasakathai,4700.0,4900.0,4800,24710.0
2025-10-30,Banana,10505,Parassala VFPCK,32,Kerala,601,Thiruvananthapuram,Red Banana,4700.0,4900.0,4800,24710.0
2025-10-30,Banana,10652,ARYANAD VFPCK,32,Kerala,601,Thiruvananthapuram,Nendra Bale,4000.0,5000.0,4500,24710.0
2025-10-30,Banana,10654,KILMANNUR VFPCK,32,Kerala,601,Thiruvananthapuram,Nendra Bale,4000.0,4200.0,4100,24710.0
2025-10-30,Banana,10655,MUDAKKAL VFPCK,32,Kerala,601,Thiruvananthapuram,Nendra Bale,4000.0,5000.0,4500,24710.0
