t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,yield_kg_per_ha
2025-10-30,Coffee,149,Sultan bathery,32,Kerala,590,Wayanad,Other,23600,23600,23600,808.08
2025-10-30,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23200,23500,23500,808.08
2025-10-30,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23600,23700,23700,808.08
2025-10-29,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23500,24000,24000,808.08
2025-10-29,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23500,23600,23600,808.08
2025-10-28,Coffee,149,Sultan bathery,32,Kerala,590,Wayanad,Other,23600,23600,23600,808.08
2025-10-28,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23300,23400,23400,808.08
2025-10-27,Coffee,149,Sultan bathery,32,Kerala,590,Wayanad,Other,24000,24000,24000,808.08
2025-10-27,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23500,23700,23600,808.08
2025-10-27,Coffee,2154,Pulpally,32,Kerala,590,Wayanad,Other,23500,23700,23600,808.08
2025-10-27,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23500,23600,23600,808.08
2025-10-26,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23600,23700,23700,808.08
2025-10-25,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23700,23800,23800,808.08
2025-10-25,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23600,23700,23700,808.08
2025-10-25,Coffee,2154,Pulpally,32,Kerala,590,Wayanad,Other,23500,23700,23600,808.08
2025-10-25,Coffee,149,Sultan bathery,32,Kerala,590,Wayanad,Other,24000,24000,24000,808.08
2025-10-24,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23800,23900,23900,808.08
2025-10-24,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23500,23600,23600,808.08
2025-10-24,Coffee,2154,Pulpally,32,Kerala,590,Wayanad,Other,23200,23400,23300,808.08
2025-10-24,Coffee,149,Sultan bathery,32,Kerala,590,Wayanad,Other,24000,24000,24000,808.08
2025-10-23,Coffee,2374,Manathavady,32,Kerala,590,Wayanad,Other,23200,23500,23500,808.08
2025-10-23,Coffee,2154,Pulpally,32,Kerala,590,Wayanad,Other,23500,23700,23600,808.08
2025-10-23,Coffee,150,Kalpetta,32,Kerala,590,Wayanad,Other,23900,24000,24000,808.08
