date,temp_2m_C,rh_2m_percent,rain_mm,soil_temp_0_7_cm_C,soil_temp_7_28_cm_C,district
2023-01-01,25.6,72,0.0,28.0,27.5,Thiruvananthapuram
2023-01-02,25.8,68,0.0,28.4,27.7,Thiruvananthapuram
2023-01-03,26.0,62,0.0,28.5,27.7,Thiruvananthapuram
2023-01-04,26.0,68,0.0,28.6,27.9,Thiruvananthapuram
2023-01-05,26.0,69,0.0,28.7,28.0,Thiruvananthapuram
2023-01-06,27.1,66,0.5,29.7,28.3,Thiruvananthapuram
2023-01-07,27.1,67,0.5,29.8,28.6,Thiruvananthapuram
2023-01-08,27.2,64,0.0,30.2,28.7,Thiruvananthapuram
2023-01-09,27.1,68,0.2,30.1,29.0,Thiruvananthapuram
2023-01-10,26.1,68,0.0,29.3,28.9,Thiruvananthapuram
2023-01-11,25.1,65,0.0,28.3,28.4,Thiruvananthapuram
2023-01-12,24.6,70,0.0,27.6,27.9,Thiruvananthapuram
2023-01-13,24.9,68,0.0,27.9,27.6,Thiruvananthapuram
2023-01-14,25.4,69,0.0,28.3,27.8,Thiruvananthapuram
2023-01-15,25.6,71,0.0,28.5,27.9,Thiruvananthapuram
2023-01-16,25.9,72,0.0,28.9,28.1,Thiruvananthapuram
2023-01-17,26.3,71,0.2,29.0,28.3,Thiruvananthapuram
2023-01-18,26.5,69,0.0,29.1,28.3,Thiruvananthapuram
2023-01-19,25.6,64,0.0,28.5,28.2,Thiruvananthapuram
2023-01-20,25.3,62,0.0,28.0,28.0,Thiruvananthapuram
2023-01-21,26.1,62,0.0,28.4,27.9,Thiruvananthapuram
2023-01-22,26.5,68,0.0,29.0,28.2,Thiruvananthapuram
2023-01-23,26.0,72,2.2,27.6,28.2,Thiruvananthapuram
2023-01-24,25.3,84,29.8,26.8,27.8,Thiruvananthapuram
2023-01-25,25.1,84,0.2,26.9,26.9,Thiruvananthapuram
2023-01-26,25.7,78,0.0,27.3,27.2,Thiruvananthapuram
2023-01-27,25.7,77,0.0,27.6,27.4,Thiruvananthapuram
2023-01-28,25.4,77,0.6,27.5,27.3,Thiruvananthapuram
2023-01-29,24.8,70,0.0,27.2,27.3,Thiruvananthapuram
2023-01-30,26.4,71,0.5,28.1,27.5,Thiruvananthapuram
2023-01-31,25.9,80,12.7,27.5,27.4,Thiruvananthapuram
2023-02-01,25.8,84,0.0,27.4,27.1,Thiruvananthapuram
2023-02-02,24.9,87,7.5,25.8,26.8,Thiruvananthapuram
2023-02-03,24.7,85,24.1,25.3,25.6,Thiruvananthapuram
2023-02-04,25.6,84,3.4,26.5,26.4,Thiruvananthapuram
2023-02-05,26.0,84,0.1,27.4,26.9,Thiruvananthapuram
2023-02-06,25.9,76,0.0,27.5,27.3,Thiruvananthapuram
2023-02-07,25.7,74,0.0,27.4,27.3,Thiruvananthapuram
2023-02-08,25.7,76,0.0,27.7,27.4,Thiruvananthapuram
2023-02-09,25.6,78,0.0,28.0,27.6,Thiruvananthapuram
2023-02-10,25.8,74,0.0,28.1,27.8,Thiruvananthapuram
2023-02-11,25.4,73,0.0,27.8,27.6,Thiruvananthapuram
2023-02-12,25.3,74,0.0,28.2,27.7,Thiruvananthapuram
2023-02-13,25.7,73,0.0,28.6,27.8,Thiruvananthapuram
2023-02-14,26.0,67,0.0,29.1,28.3,Thiruvananthapuram
2023-02-15,25.5,72,0.0,28.5,28.2,Thiruvananthapuram
2023-02-16,26.2,67,0.0,29.4,28.2,Thiruvananthapuram
2023-02-17,25.9,68,0.0,29.0,28.4,Thiruvananthapuram
2023-02-18,26.4,62,0.0,29.5,28.5,Thiruvananthapuram
2023-02-19,26.2,66,0.0,29.1,28.6,Thiruvananthapuram
2023-02-20,27.0,69,0.1,29.8,28.8,Thiruvananthapuram
2023-02-21,27.1,74,0.5,30.2,29.0,Thiruvananthapuram
2023-02-22,26.9,70,0.0,30.1,29.2,Thiruvananthapuram
2023-02-23,26.2,59,0.0,29.5,29.1,Thiruvananthapuram
2023-02-24,26.4,66,0.0,29.7,29.1,Thiruvananthapuram
2023-02-25,26.9,69,0.0,30.2,29.2,Thiruvananthapuram
2023-02-26,26.7,63,0.0,30.0,29.3,Thiruvananthapuram
2023-02-27,26.1,59,0.0,29.5,29.1,Thiruvananthapuram
2023-02-28,27.0,61,0.2,29.3,29.0,Thiruvananthapuram
2023-03-01,28.3,66,0.5,31.0,29.4,Thiruvananthapuram
2023-03-02,27.5,59,0.0,30.6,29.7,Thiruvananthapuram
2023-03-03,27.3,59,0.0,30.9,29.9,Thiruvananthapuram
2023-03-04,27.7,62,0.6,31.2,30.0,Thiruvananthapuram
2023-03-05,28.3,65,1.4,31.6,30.2,Thiruvananthapuram
2023-03-06,27.7,68,0.0,31.0,30.3,Thiruvananthapuram
2023-03-07,27.5,65,0.1,31.0,30.3,Thiruvananthapuram
2023-03-08,28.0,66,0.4,31.3,30.3,Thiruvananthapuram
2023-03-09,28.1,69,0.8,31.4,30.6,Thiruvananthapuram
2023-03-10,27.7,66,0.0,30.8,30.5,Thiruvananthapuram
2023-03-11,27.8,66,0.0,31.2,30.4,Thiruvananthapuram
2023-03-12,28.2,68,0.0,31.8,30.6,Thiruvananthapuram
2023-03-13,28.6,65,0.9,31.9,30.9,Thiruvananthapuram
2023-03-14,28.2,66,0.2,31.7,30.9,Thiruvananthapuram
2023-03-15,27.9,72,1.8,31.4,30.8,Thiruvananthapuram
2023-03-16,27.4,77,6.1,30.1,30.4,Thiruvananthapuram
2023-03-17,26.8,83,6.5,29.0,29.6,Thiruvananthapuram
2023-03-18,26.9,82,5.7,29.2,29.1,Thiruvananthapuram
2023-03-19,27.1,82,2.5,29.4,29.2,Thiruvananthapuram
2023-03-20,26.3,83,8.2,28.5,29.1,Thiruvananthapuram
2023-03-21,27.8,76,0.0,29.6,28.8,Thiruvananthapuram
2023-03-22,28.1,72,0.4,30.5,29.5,Thiruvananthapuram
2023-03-23,28.0,73,0.0,30.8,29.9,Thiruvananthapuram
2023-03-24,27.1,80,6.7,29.1,29.9,Thiruvananthapuram
2023-03-25,28.0,75,9.0,30.1,29.7,Thiruvananthapuram
2023-03-26,27.1,81,17.4,29.3,30.0,Thiruvananthapuram
2023-03-27,27.9,78,1.0,29.7,29.3,Thiruvananthapuram
2023-03-28,28.7,77,7.2,30.5,29.9,Thiruvananthapuram
2023-03-29,27.8,83,7.7,29.9,30.0,Thiruvananthapuram
2023-03-30,27.2,81,9.4,29.0,29.5,Thiruvananthapuram
2023-03-31,27.8,77,0.1,30.0,29.3,Thiruvananthapuram
2023-04-01,28.1,76,2.7,30.3,29.9,Thiruvananthapuram
2023-04-02,28.0,76,1.0,30.3,29.7,Thiruvananthapuram
2023-04-03,27.7,78,3.3,29.7,29.8,Thiruvananthapuram
2023-04-04,27.1,81,4.4,29.1,29.3,Thiruvananthapuram
2023-04-05,27.1,82,3.9,28.5,28.8,Thiruvananthapuram
2023-04-06,27.7,79,1.7,29.3,28.7,Thiruvananthapuram
2023-04-07,27.0,81,5.4,28.7,28.8,Thiruvananthapuram
2023-04-08,27.1,77,2.6,29.0,28.6,Thiruvananthapuram
2023-04-09,26.8,79,9.9,28.3,28.7,Thiruvananthapuram
