t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,yield_kg_per_ha
2025-10-30,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-29,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-29,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-28,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,4800,4600,2988.49
2025-10-27,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3800.0,4000,4000,2988.49
2025-10-27,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,4800,4600,2988.49
2025-10-27,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4800.0,5000,5000,2988.49
2025-10-25,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4800,2988.49
2025-10-25,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
2025-10-24,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
2025-10-24,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-24,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-24,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-23,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-23,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-22,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-22,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-21,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4200.0,4400,4400,2988.49
2025-10-21,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-21,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3800.0,4000,4000,2988.49
2025-10-20,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3800.0,4000,4000,2988.49
2025-10-20,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-19,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-18,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-18,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-17,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-17,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-16,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-15,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-15,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-14,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-13,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-13,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-13,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-13,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-12,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-12,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-11,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-11,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5000,4800,2988.49
2025-10-11,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-10,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-10,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-10,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-09,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-09,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-09,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-08,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-08,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-08,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-10-07,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-06,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-06,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-05,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-05,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4300.0,4500,4500,2988.49
2025-10-04,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-04,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
